SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,2829 25th St #1,San Francisco,CA,94110,1249000,2,1.5,Inner Mission,1018,,,31,1227,200,Active,,,http://www.redfin.com/CA/San-Francisco/2829-25th-St-94110/unit-1/home/173178043,San Francisco MLS,510600,N,Y,37.7510579,-122.4067261
MLS Listing,,Condo/Co-op,65 Hermann St #12,San Francisco,CA,94102,995000,2,1.0,Hayes Valley,1215,,1959,31,819,456,Active,,,http://www.redfin.com/CA/San-Francisco/65-Hermann-St-94102/unit-12/home/2026487,San Francisco MLS,509995,N,Y,37.7704882,-122.426155
MLS Listing,,Single Family Residential,44 Bonview St,SAN FRANCISCO,CA,94110,1599950,4,2.0,SAN FRANCISCO,1610,1750,1971,31,994,,Active,,,http://www.redfin.com/CA/San-Francisco/44-Bonview-St-94110/home/1912080,MLSListings,ML81821948,N,Y,37.7441326,-122.4163202
MLS Listing,,Condo/Co-op,2815 Polk St #1,San Francisco,CA,94109,1595000,1,1.0,Russian Hill,1002,,2020,31,1592,650,Active,,,http://www.redfin.com/CA/San-Francisco/2815-Polk-St-94109/unit-1/home/169634833,San Francisco MLS,497259,N,Y,37.80275,-122.42341
MLS Listing,,Condo/Co-op,2815 Polk St #2,San Francisco,CA,94109,2695000,2,2.5,Russian Hill,1421,,2020,31,1897,650,Active,,,http://www.redfin.com/CA/San-Francisco/2815-Polk-St-94109/unit-2/home/169634703,San Francisco MLS,497260,N,Y,37.80275,-122.42341
MLS Listing,,Single Family Residential,2306 Geary Blvd,San Francisco,CA,94115,1595000,5,4.0,Lower Pacific Height,2050,750,1904,31,778,,Active,,,http://www.redfin.com/CA/San-Francisco/2306-Geary-Blvd-94115/home/1460465,San Francisco MLS,510509,N,Y,37.7832445,-122.4416042
MLS Listing,,Condo/Co-op,301 Mission St #1006,San Francisco,CA,94105,1500000,1,2.0,Yerba Buena,1633,,2009,31,919,2540,Active,,,http://www.redfin.com/CA/San-Francisco/301-Mission-St-94105/unit-1006/home/40142652,San Francisco MLS,510568,N,Y,37.7905431,-122.3959219
MLS Listing,,Single Family Residential,2715 Scott St,San Francisco,CA,94123,8000000,5,4.5,Pacific Heights,6490,4673,1912,32,1233,,Active,,,http://www.redfin.com/CA/San-Francisco/2715-Scott-St-94123/home/1882968,San Francisco MLS,510578,N,Y,37.7952323,-122.4404646
MLS Listing,,Condo/Co-op,333 Beale St Unit C6D,San Francisco,CA,94105,1295000,1,2.0,South Beach,1033,1033,2015,32,1254,1155,Active,,,http://www.redfin.com/CA/San-Francisco/333-Beale-St-94105/unit-C6D/home/172711255,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40930753,N,Y,37.7884937,-122.3918797
MLS Listing,,Vacant Land,636 Capp St,San Francisco,CA,94110,1995000,,,Inner Mission,,4045,,32,,,Active,,,http://www.redfin.com/CA/San-Francisco/636-Capp-St-94110/unit-V/home/110058699,San Francisco MLS,510569,N,Y,37.75646,-122.418066
MLS Listing,,Condo/Co-op,75 Howard St #203,San Francisco,CA,94105,3495000,2,2.0,South Beach,1609,,,32,2172,2748,Active,,,http://www.redfin.com/CA/San-Francisco/75-Howard-St-94105/unit-203/home/173837495,San Francisco MLS,510544,N,Y,37.7915968,-122.3915948
MLS Listing,,Single Family Residential,918 Divisadero St,San Francisco,CA,94115,5250000,7,4.25,Alamo Square,5041,2500,1890,32,1041,,Active,,,http://www.redfin.com/CA/San-Francisco/918-Divisadero-St-94115/home/592801,San Francisco MLS,510445,N,Y,37.7781688,-122.4381554
MLS Listing,,Condo/Co-op,477 Roosevelt Way,San Francisco,CA,94114,1295000,2,1.0,Corona Heights,1100,,1932,32,1177,342,Active,,,http://www.redfin.com/CA/San-Francisco/477-Roosevelt-Way-94114/home/144063750,San Francisco MLS,510548,N,Y,37.7635624,-122.4427538
MLS Listing,,Condo/Co-op,1688 Pine St Unit W908,SAN FRANCISCO,CA,94109,1450000,2,2.0,SAN FRANCISCO,1068,,2016,32,1358,803,Active,,,http://www.redfin.com/CA/San-Francisco/1688-Pine-St-94109/unit-W908/home/109465026,MLSListings,ML81817028,N,Y,37.789553,-122.4232788
MLS Listing,,Condo/Co-op,588 Minna St #205,San Francisco,CA,94103,599000,1,1.0,South of Market,529,,2020,32,1132,495,Active,,,http://www.redfin.com/CA/San-Francisco/588-Minna-94103/unit-205/home/173834624,San Francisco MLS,510527,N,Y,37.7790369,-122.4101047
